,"November 17, 2016",,,,
Stewartstown," 39,811.57 ",,,,
Stoddard," 30,864.50 ",,,,
Strafford," 198,214.88 ",,,,
Stratford," 31,803.28 ",,,,
Stratham," 112,920.79 ",,,,
Sullivan," 22,032.39 ",,,,
Sunapee," 110,411.01 ",,,,
Surry," 13,027.85 ",,,,
Tamworth," 89,010.86 ",,,,
,,,,,
Thornton," 56,881.88 ",,,,
Timberlane Regional," 1,418,924.23 ",,,,
Unity," 32,109.81 ",,,,
Wakefield," 171,162.93 ",,,,
Warren," 32,282.24 ",,,,
Washington," 38,738.69 ",,,,
Waterville Valley," 11,495.16 ",,,,
Weare," 289,256.54 ",,,,
Wentworth," 18,775.43 ",,,,
Westmoreland," 62,859.37 ",,,,
,,,,,
White Mountains Regional," 356,407.44 ",,,,
Wilton-Lyndeborough Coop," 173,385.33 ",,,,
Winchester," 265,710.62 ",,,,
Windham," 825,333.33 ",,,,
Windsor," 5,747.58 ",,,,
Winnacunnet Coop," 303,606.33 ",,,,
Winnisquam Regional," 437,448.31 ",,,,
Orford," 25,500.10 ",,,,
,,,,,
State Totals," 53,523,840.64 ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
