,"August 8, 2011",,
Windham                       ,"$642,102",,
Windsor                       ,"$9,280",,
Winnacunnet Coop,"$364,871",,
Winnisquam Regional,"$436,717",,
,,,
Total Special Education Allocation,"$56,149,880",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
