,,,,,,,,,,,,,,
,"SFY 2024
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)",
,Virtual Learning Academy Charter School1," 1,918.32 "," 7,865,131.27 ", 78.82 ," 181,295.20 ", 24.29 ," 51,009.42 ", 1.00 , 800.00 ," 8,098,235.89 "," 4,508,465.89 "," 12,606,701.78 "," 12,555,692.36 ",
,Windham Academy Public Charter School, 373.53 ," 1,531,473.00 ", 12.11 ," 27,842.19 ", 45.93 ," 96,443.76 ", 4.58 ," 3,665.52 "," 1,659,424.47 "," 1,830,297.00 "," 3,489,721.47 "," 3,393,277.71 ",
,"1 Virtual Learning Academy Charter School receives an additional grant amount of $2,350.21 per RSA 194-B:11, I(b)(1)(B).
2 Differential aid for special education is sent to the responsible school district.
",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
