,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Breakdown For Towns That Are Part of Two School Districts, FY 2024",,,,,,,,,,,,,,,,,,,,,
Dist,Loc,District/Town,,, Adequacy Grant,SWEPT Grant (Retained $1.44 State Ed Tax,Total Adequacy & SWEPT Grant,,,,,,,,,,,,,,
288,183,Lafayette Reg School District (Franconia)                        ,,, -   ," 325,057.00 "," 325,057.00 ",,,,,,,,,,,,,,
288,512,Lafayette Reg School District (Sugar Hill)                        ,,, -   ," 172,516.00 "," 172,516.00 ",,,,,,,,,,,,,,
,,,,, -   ," 578,302.00 "," 578,302.00 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
367,367,Mont Vernon School District    ,,," 951,247.03 "," 461,013.00 "," 1,412,260.03 ",,,,,,,,,,,,,,
387,387,Newfields School District    ,,," 291,230.95 "," 268,318.00 "," 559,548.95 ",,,,,,,,,,,,,,
405,405,North Hampton School District    ,,, -   ," 1,640,651.00 "," 1,640,651.00 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
428,23,Pemi-Baker Coop (Ashland),,," 183,449.52 "," 137,180.00 "," 320,629.52 ",,,,,,,,,,,,,,
428,75,Pemi-Baker Coop (Campton),,," 583,335.82 "," 308,034.00 "," 891,369.82 ",,,,,,,,,,,,,,
428,257,Pemi-Baker Coop (Holderness),,, -   ," 447,128.00 "," 447,128.00 ",,,,,,,,,,,,,,
428,447,Pemi-Baker Coop (Plymouth),,," 1,297,142.33 "," 294,175.00 "," 1,591,317.33 ",,,,,,,,,,,,,,
428,467,Pemi-Baker Coop (Rumney),,," 211,363.28 "," 155,271.00 "," 366,634.28 ",,,,,,,,,,,,,,
428,531,Pemi-Baker Coop (Thornton),,," 256,522.84 "," 271,393.00 "," 527,915.84 ",,,,,,,,,,,,,,
428,559,Pemi-Baker Coop (Wentworth),,," 199,587.94 "," 51,378.00 "," 250,965.94 ",,,,,,,,,,,,,,
,,,,," 2,731,401.73 "," 1,664,559.00 "," 4,395,960.73 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
447,447,Plymouth School District                     ,,," 2,765,314.08 "," 571,811.00 "," 3,337,125.08 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
450,53,Profile Reg (Bethlehem),,," 561,463.44 "," 259,552.00 "," 821,015.44 ",,,,,,,,,,,,,,
450,155,Profile Reg (Easton),,, -   ," 69,576.00 "," 69,576.00 ",,,,,,,,,,,,,,
450,183,Profile Regional (Franconia),,, -   ," 293,627.00 "," 293,627.00 ",,,,,,,,,,,,,,
450,512,Profile Regional (Sugar Hill),,, -   ," 212,478.00 "," 212,478.00 ",,,,,,,,,,,,,,
,,,,," 561,463.44 "," 835,233.00 "," 1,396,696.44 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
467,467,Rumney School District    ,,," 480,270.49 "," 280,393.00 "," 760,663.49 ",,,,,,,,,,,,,,
485,485,Seabrook School District    ,,," 1,379,590.31 "," 2,194,185.00 "," 3,573,775.31 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
493,17,Souhegan Coop (Amherst),,," 1,541,363.26 "," 1,132,568.00 "," 2,673,931.26 ",,,,,,,,,,,,,,
493,367,Souhegan Coop (Mont Vernon),,," 414,506.07 "," 190,504.00 "," 605,010.07 ",,,,,,,,,,,,,,
,,,,," 1,955,869.33 "," 1,323,072.00 "," 3,278,941.33 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
511,511,Stratham School District    ,,," 1,018,318.08 "," 1,290,519.00 "," 2,308,837.08 ",,,,,,,,,,,,,,
531,531,Thornton School District    ,,," 506,256.94 "," 515,709.00 "," 1,021,965.94 ",,,,,,,,,,,,,,
555,555,Weare School District    ,,," 5,307,918.63 "," 1,225,522.00 "," 6,533,440.63 ",,,,,,,,,,,,,,
559,559,Wentworth School District    ,,," 495,356.14 "," 125,605.00 "," 620,961.14 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
581,225,Winnacunnet Coop (Hampton),,, -   ," 2,538,343.00 "," 2,538,343.00 ",,,,,,,,,,,,,,
581,227,Winnacunnet (Hampton Falls),,," 147,093.01 "," 334,320.00 "," 481,413.01 ",,,,,,,,,,,,,,
581,405,Winnacunnet Coop (North Hampton),,, -   ," 711,874.00 "," 711,874.00 ",,,,,,,,,,,,,,
581,485,Winnacunnet Coop (Seabrook),,," 635,881.29 "," 1,132,354.00 "," 1,768,235.29 ",,,,,,,,,,,,,,
,,,,," 782,974.30 "," 4,716,891.00 "," 5,499,865.30 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
