,"May 10, 2010",,
Wilton-Lyndeboro,"$109,746",,
Winchester                    ,"$225,467",,
Windham                       ,"$544,309",,
Windsor                       ,"$18,096",,
Winnacunnet Coop,"$350,171",,
Winnisquam Regional,"$455,964",,
,,,
Total Special Education Allocation,"$53,700,510",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
