New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
School Year 2012-2013 CTE Tuition and Transportation Distribution,,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
Milford," 60,328.60 "," 8,082.50 "," 68,411.10 ", ,,,,
Milton, -   ," 11,457.00 "," 11,457.00 ", ,,,,
Monadnock Regional, -   ," 7,509.00 "," 7,509.00 ", ,,,,
Moultonboro, -   ," 8,683.20 "," 8,683.20 ", ,,,,
Nashua," 200,377.13 "," 4,048.00 "," 204,425.13 ", ,,,,
Newfound Area, -   ," 8,721.00 "," 8,721.00 ",,,,,
Newmarket, -   ," 10,908.80 "," 10,908.80 ",,,,,
Newport," 72,178.85 ", 844.00 ," 73,022.85 ",,,,,
Northumberland, -   ," 12,323.00 "," 12,323.00 ",,,,,
Oyster River Cooperative, -   ," 4,399.00 "," 4,399.00 ",,,,,
Pelham, -   ," 14,669.40 "," 14,669.40 ",,,,,
Pembroke, -   ," 12,811.20 "," 12,811.20 ",,,,,
Pemi-Baker Regional," 63,560.50 ", -   ," 63,560.50 ",,,,,
Piermont," 27,471.07 ", 676.60 ," 28,147.67 ",,,,,
Pittsfield, -   ," 9,687.00 "," 9,687.00 ",,,,,
Profile, -   ," 4,432.60 "," 4,432.60 ",,,,,
Raymond, -   ," 22,100.40 "," 22,100.40 ",,,,,
Rivendell Interstate," 18,852.67 "," 1,364.80 "," 20,217.47 ",,,,,
Rochester," 50,094.28 "," 10,057.60 "," 60,151.88 ",,, ,,
Salem," 266,630.85 "," 2,330.00 "," 268,960.85 ",,, ,,
Sanborn Regional, -   ," 28,238.40 "," 28,238.40 ",   ,, ,,
Shaker Regional, -   ," 13,566.00 "," 13,566.00 ",,, ,,
Somersworth," 51,171.57 "," 2,678.00 "," 53,849.57 ",,,,,
Souhegan Cooperative, -   ," 2,329.60 "," 2,329.60 ",,,,,
South Hampton," 10,501.50 ", 692.00 ," 11,193.50 ",,,,,
Sunapee, -   , 868.80 , 868.80 ,,,,,
Timberlane Regional, -   ," 20,430.00 "," 20,430.00 ",,,,,
Warren," 19,929.98 "," 2,708.44 "," 22,638.42 ",,,,,
White Mountains Regional*," 60,803.93 "," 8,982.40 "," 69,786.33 ",,,,,
Wilton-Lyndeboro Cooperative, -   ," 1,428.00 "," 1,428.00 ",,,,,
Windham, -   ," 6,825.20 "," 6,825.20 ",,,,,
Winnacunnet Cooperative, -   ," 17,648.40 "," 17,648.40 ",,,,,
Winnisquam Regional," 59,789.95 "," 11,710.00 "," 71,499.95 ",,,,,
Pinkerton Academy," 171,828.78 "," 10,772.00 "," 182,600.78 ", ,,,,
Prospect Mountain, -   ," 9,554.40 "," 9,554.40 ",,,,,
,,,,,,,,
Tuition & Transportation  Alternative Education,,,,,,,,
,,,,,,,,
Franklin, -   , 202.80 , 202.80 ,,,,,
Gilford,,, -   ,,,,,
Interlakes, -   , 583.00 , 583.00 ,,,,,
Litchfield," 4,687.50 ", 28.00 ," 4,715.50 ",,,,,
Londonderry," 17,062.50 ", -   ," 17,062.50 ",,,,,
Laconia," 50,501.09 ", -   ," 50,501.09 ",,,,,
Nashua," 3,393.75 ", -   ," 3,393.75 ",,,,,
Pinkerton Academy," 2,250.00 ", -   ," 2,250.00 ",,,,,
Shaker Regional, -   , 691.60 , 691.60 ,,,,,
Winnisquam Regional, -   ," 1,210.00 "," 1,210.00 ",,,,,
,,,,,,,,
*Tuition Payment includes tuition differential,,,,,,,,
 ,   ,   ,   ,,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,,
,,,,,,,,
,,,,,,,,
,,, ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
