,,,,,,,"January 6, 2009"
 Milan ,," 137,216.36 ",,0.00 ," 253,267.73 "," 109,773.09 "," 99,613.59 "
 Milford ,," 209,676.94 ",,"7,771.25 "," 720,337.46 "," 175,512.80 "," 159,269.09 "
 Milton ,," 92,187.19 ",,0.00 ," 285,606.14 "," 73,749.75 "," 66,924.21 "
 Monadnock Regional ,," 668,119.84 ",,"147,064.67 "," 1,627,544.10 "," 681,560.54 "," 618,482.11 "
 Monroe ,," 45,727.87 ",,0.00 ," 84,411.66 "," 36,582.30 "," 33,196.61 "
 Mont Vernon ,," 121,097.46 ",,"32,568.31 "," 347,084.72 "," 129,446.28 "," 117,466.03 "
 Moultonborough ,," 86,366.03 ",,"2,048.30 "," 204,465.70 "," 71,141.13 "," 64,557.01 "
 Nashua ,," 1,978,419.98 ",,"163,172.22 "," 5,932,603.62 "," 1,745,908.21 "," 1,584,324.40 "
 New Boston ,," 84,507.42 ",,0.00 ," 200,558.79 "," 67,605.94 "," 61,349.01 "
 Newfields ,," 43,219.21 ",,0.00 ," 81,903.00 "," 34,575.37 "," 31,375.42 "
 Newfound Area ,," 364,225.19 ",,"33,501.47 "," 707,196.98 "," 324,881.62 "," 294,813.83 "
 Newmarket* ,," 77,987.95 ",,0.00 ," 319,629.16 "," 62,390.36 "," 56,616.13 "
 Newport ,," 239,897.16 ",,"38,659.35 "," 665,394.41 "," 230,577.08 "," 209,237.17 "
 Northwood ,," 84,072.20 ",,"58,429.16 "," 297,236.52 "," 125,686.92 "," 114,054.60 "
 Nottingham ,," 71,003.50 ",,0.00 ," 264,422.45 "," 56,802.80 "," 51,545.70 "
 Oyster River Coop ,," 469,517.60 ",,"15,233.10 "," 987,639.97 "," 390,847.18 "," 354,674.27 "
 Pelham ,," 259,756.13 ",,"170,364.24 "," 778,274.48 "," 378,169.14 "," 343,169.59 "
 Pembroke ,," 499,796.34 ",,"218,726.10 "," 1,298,779.29 "," 618,563.17 "," 561,315.15 "
 Pemi-Baker ,," 47,109.88 ",,0.00 ," 163,161.25 "," 37,687.91 "," 34,199.89 "
 Piermont ,," 6,102.73 ",,0.00 ," 83,470.31 "," 4,882.19 "," 4,430.34 "
 Pittsfield ,," 318,229.11 ",,"6,010.59 "," 556,342.44 "," 260,593.88 "," 236,475.91 "
 Plymouth ,," 52,573.56 ",,0.00 ," 91,257.35 "," 42,058.85 "," 38,166.30 "
 Portsmouth ,," 233,196.03 ",,"40,941.82 "," 544,924.38 "," 227,498.64 "," 206,443.64 "
 Profile* ,," 224,888.14 ",,"197,067.50 "," 589,302.77 "," 376,978.01 "," 342,088.70 "
 Raymond ,," 537,781.45 ",,"55,813.62 "," 1,560,689.82 "," 486,038.78 "," 441,055.89 "
 Rochester* ,," 732,855.65 ",,"17,202.22 "," 1,901,033.10 "," 586,284.52 "," 532,023.89 "
 Rumney ,," 2,673.59 ",,0.00 ," 118,724.96 "," 2,138.87 "," 1,940.92 "
 Rye ,," 30,337.78 ",,0.00 ," 185,072.94 "," 24,270.23 "," 22,024.02 "
 Salem ,," 2,380,876.30 ",,"619,604.27 "," 7,294,381.26 "," 2,524,305.31 "," 2,290,680.85 "
 Sanborn Regional ,," 313,484.91 ",,"161,229.17 "," 938,919.56 "," 412,017.10 "," 373,884.92 "
 Shaker Regional ,," 123,789.23 ",,0.00 ," 201,156.81 "," 99,031.38 "," 89,866.03 "
 Somersworth ,," 274,246.15 ",,0.00 ," 545,032.68 "," 219,396.92 "," 199,091.74 "
 Souhegan Cooperative ,," 451,036.64 ",,"284,365.00 "," 1,199,607.11 "," 645,194.31 "," 585,481.57 "
 South Hampton ,," 21,932.48 ",,0.00 ," 99,300.06 "," 17,545.98 "," 15,922.10 "
 Stewartstown ,," 64,231.23 ",,0.00 ," 102,915.02 "," 51,384.98 "," 46,629.30 "
 Strafford ,," 107,372.98 ",,0.00 ," 262,108.14 "," 85,898.38 "," 77,948.49 "
 Stratham ,," 60,199.80 ",,0.00 ," 137,567.38 "," 48,159.84 "," 43,702.65 "
 Sunapee ,," 89,463.14 ",,"159,334.02 "," 364,848.53 "," 230,904.53 "," 209,534.31 "
 Tamworth ,," 81,899.59 ",,"72,859.70 "," 270,810.66 "," 138,379.37 "," 125,572.36 "
 Thornton ,," 40,464.55 ",,0.00 ," 79,148.34 "," 32,371.64 "," 29,375.65 "
 Timberlane Regional ,," 589,626.31 ",,"27,723.60 "," 1,468,393.29 "," 499,424.65 "," 453,202.90 "
 Unity ,," 84,818.21 ",,0.00 ," 162,185.79 "," 67,854.56 "," 61,574.62 "
 Wakefield ,," 81,380.53 ",,"23,083.85 "," 220,515.75 "," 88,188.28 "," 80,026.45 "
 Westmoreland ,," 18,776.49 ",,0.00 ," 96,144.07 "," 15,021.19 "," 13,630.98 "
 White Mountains Regional ,," 97,075.32 ",,"121,780.88 "," 296,223.78 "," 199,441.13 "," 180,982.86 "
 Wilton-Lyndeborough Coop ,," 27,839.06 ",,0.00 ," 182,574.22 "," 22,271.25 "," 20,210.04 "
 Winchester ,," 425,584.59 ",,"147,208.05 "," 1,191,733.28 "," 487,675.72 "," 442,541.33 "
 Windham ,," 910,546.58 ",,"161,165.99 "," 2,038,807.32 "," 889,603.25 "," 807,270.47 "
 Winnacunnet Cooperative ,," 153,945.06 ",,0.00 ," 308,680.22 "," 123,156.05 "," 111,757.96 "
 Winnisquam Regional ,," 135,537.39 ",,0.00 ," 483,691.50 "," 108,429.91 "," 98,394.72 "
,,,,,,,
Note: ,,,,,,,
,,,,,,,
,,,,,,,
,"Entitlement = 80% of expenditures over $38,683.79 (3 1/2 time estimated state average expenditure per  ",,,,,,
,"pupil) and 100% of expenditures over $110,525.10 (10 time estimated state average expenditure per  ",,,,,,
,pupil).  Entitlement prorated to 90.745%.  ,,,,,,
,Expenditures include 100% of eligible transportation expenditures.,,,,,,
,,,,,,,
,* Includes aid for partial year students not included in the count.,,,,,,
,,,,,,,
