New Hampshire Department of Education,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,
Bureau of Career Development,,,,,,,
,,,,,,,
School Year 2013-14 CTE Tuition and Transportation Distribution,,,,,,,
,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,
Monadnock Regional, -   ," 9,393.20 "," 9,393.20 ", ,,,
Moultonboro, -   ," 6,822.00 "," 6,822.00 ", ,,,
Nashua," 163,126.67 "," 2,516.00 "," 165,642.67 ", ,,,
Newfound Area, -   ," 10,140.00 "," 10,140.00 ",,,,
Newmarket, -   ," 12,417.60 "," 12,417.60 ",,,,
Newport," 52,932.15 "," 1,394.00 "," 54,326.15 ",,,,
Northumberland, -   ," 13,967.60 "," 13,967.60 ",,,,
Oyster River Cooperative, -   ," 4,610.40 "," 4,610.40 ",,,,
Pelham, -   ," 20,719.20 "," 20,719.20 ",,,,
Pembroke,," 20,979.00 "," 20,979.00 ",,,,
Pemi-Baker Regional," 63,037.20 ", -   ," 63,037.20 ",,,,
Piermont," 22,135.28 "," 3,495.20 "," 25,630.48 ",,,,
Pittsfield, -   ," 7,365.00 "," 7,365.00 ",,,,
Profile, -   ," 3,938.80 "," 3,938.80 ",,,,
Raymond, -   ," 27,465.20 "," 27,465.20 ",,,,
Rivendell ," 5,774.40 ", 526.05 ," 6,300.45 ",,,,
Rochester," 47,157.61 "," 9,067.60 "," 56,225.21 ",,, ,
Salem," 217,502.42 "," 3,545.00 "," 221,047.42 ",,, ,
Sanborn Regional, -   ," 27,860.40 "," 27,860.40 ",   ,, ,
Shaker Regional, -   ," 15,318.80 "," 15,318.80 ",,, ,
Somersworth," 38,977.17 "," 2,705.20 "," 41,682.37 ",,,,
Souhegan Cooperative, -   ," 2,332.00 "," 2,332.00 ",,,,
South Hampton," 11,118.00 ", 742.00 ," 11,860.00 ",,,,
Sunapee, -   ," 1,457.60 "," 1,457.60 ",,,,
Timberlane Regional, -   ," 38,624.60 "," 38,624.60 ",,,,
Warren," 21,653.98 "," 3,340.16 "," 24,994.14 ",,,,
White Mountains Regional*," 75,467.07 "," 9,996.00 "," 85,463.07 ",,,,
Wilton-Lyndeboro Cooperative, -   ," 3,501.00 "," 3,501.00 ",,,,
Windham, -   ," 6,557.60 "," 6,557.60 ",,,,
Winnacunnet Cooperative, -   ," 18,100.60 "," 18,100.60 ",,,,
Winnisquam Regional," 47,638.76 "," 17,458.00 "," 65,096.76 ",,,,
Pinkerton Academy," 231,938.41 "," 17,133.10 "," 249,071.51 ", ,,,
Prospect Mountain, -   ," 10,944.00 "," 10,944.00 ",,,,
,,,,,,,
Tuition & Transportation  Alternative Education,,,,,,,
,,,,,,,
Franklin, -   , 543.40 , 543.40 ,,,,
Gilford, -   , 116.80 , 116.80 ,,,,
Interlakes, -   , 154.00 , 154.00 ,,,,
Litchfield," 2,250.00 ", -   ," 2,250.00 ",,,,
Londonderry," 12,937.50 ", -   ," 12,937.50 ",,,,
Laconia," 33,202.92 ", -   ," 33,202.92 ",,,,
Nashua," 6,112.50 ", -   ," 6,112.50 ",,,,
Pinkerton Academy," 2,887.20 ", -   ," 2,887.20 ",,,,
Shaker Regional, -   , 333.20 , 333.20 ,,,,
Winnisquam Regional, -   ," 1,330.00 "," 1,330.00 ",,,,
,,,,,,,
*Tuition Payment includes tuition differential,,,,,,,
 ,   ,   ,   ,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,
,,,,,,,
,,,,,,,
,,, ,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
