FY 22 Special Education Aid School Year 2020-2021,,,,,,,
District of Liability,Number of Students Reported,Sum of District Liability,Sum of District Cost from 3.5 to 10 * ECPP,Sum of # Students Over ,Sum of District Cost Over 10 * ECPP,Sum of District Cost,Sum of Entitlement
Dover,,"$1,602,136.22 ","$1,267,737.56 ",,"$237,147.48 ","$3,107,021.27 ","$1,251,337.53 "
Dresden,,"$118,435.94 ","$173,409.16 ",,"$178,738.40 ","$470,583.50 ","$317,465.73 "
East Kingston,,"$59,217.97 ","$11,676.91 ",, $-   ,"$70,894.88 ","$9,341.53 "
Epping,,"$177,653.91 ","$115,292.90 ",, $-   ,"$292,946.81 ","$92,234.32 "
Epsom,,"$118,435.94 ","$52,168.80 ",, $-   ,"$170,604.74 ","$41,735.04 "
Exeter,,"$118,435.94 ","$132,950.16 ",, $-   ,"$251,386.10 ","$106,360.13 "
Exeter Regional Cooperative,,"$755,029.10 ","$643,333.15 ",, $-   ,"$1,398,362.26 ","$514,666.52 "
Fall Mountain Regional,,"$236,871.88 ","$147,545.57 ",,"$33,267.36 ","$417,684.81 ","$151,303.82 "
Farmington,,"$236,871.88 ","$180,328.15 ",, $-   ,"$417,200.03 ","$144,262.52 "
Franklin,,"$236,871.88 ","$239,857.73 ",, $-   ,"$476,729.61 ","$191,886.18 "
Fremont,,"$177,653.91 ","$198,127.70 ",, $-   ,"$375,781.61 ","$158,502.16 "
Gilford,,"$177,653.91 ","$67,225.99 ",, $-   ,"$244,879.90 ","$53,780.79 "
Gilmanton,,"$59,217.97 ","$71,985.64 ",, $-   ,"$131,203.61 ","$57,588.51 "
Goffstown,,"$639,589.59 ","$479,743.72 ",,"$33,741.23 ","$1,153,074.55 ","$417,536.21 "
Gorham Randolph Shelburne Cooperative,,"$118,435.94 ","$219,952.46 ",,"$186,068.83 ","$524,457.23 ","$362,030.80 "
Governor Wentworth Regional,,"$613,006.65 ","$409,123.04 ",, $-   ,"$1,022,129.69 ","$327,298.43 "
Grantham,,"$59,217.97 ","$109,976.23 ",,"$72,742.47 ","$241,936.67 ","$160,723.45 "
Greenland,,"$177,653.91 ","$115,267.63 ",, $-   ,"$292,921.54 ","$92,214.10 "
Hampstead,,"$947,487.50 ","$809,088.86 ",,"$132,042.25 ","$1,888,618.61 ","$779,313.34 "
Hampton,,"$414,525.78 ","$560,779.39 ",,"$120,991.93 ","$1,096,297.10 ","$569,615.44 "
Hampton Falls,,"$134,543.23 ","$81,231.78 ",, $-   ,"$209,388.36 ","$64,985.42 "
Hanover,,"$59,217.97 ","$109,976.23 ",,"$109,055.60 ","$278,249.80 ","$197,036.58 "
Henniker,,"$118,435.94 ","$70,491.88 ",, $-   ,"$188,927.82 ","$56,393.50 "
Hillsboro-Deering Cooperative,,"$236,871.88 ","$211,485.00 ",, $-   ,"$448,356.88 ","$169,188.00 "
Hinsdale,,"$473,743.75 ","$295,716.28 ",, $-   ,"$769,460.03 ","$236,573.02 "
Hollis,,"$65,234.51 ","$65,473.37 ",, $-   ,"$125,205.63 ","$52,378.70 "
Hollis/Brookline Cooperative,,"$349,291.27 ","$460,953.32 ",,"$143,427.66 ","$953,672.24 ","$512,190.31 "
Hooksett,,"$848,575.73 ","$526,998.71 ",, $-   ,"$1,375,574.43 ","$421,598.96 "
Hopkinton,,"$355,307.81 ","$345,643.28 ",,"$31,730.65 ","$732,681.74 ","$308,245.27 "
Hudson,,"$532,961.72 ","$417,480.62 ",, $-   ,"$950,442.34 ","$333,984.50 "
Inter-Lakes Cooperative,,"$59,217.97 ","$28,213.13 ",, $-   ,"$87,431.10 ","$22,570.50 "
Jaffrey-Rindge Cooperative,,"$651,397.66 ","$537,913.01 ",,"$178,941.06 ","$1,368,251.73 ","$609,271.47 "
John Stark Regional,,"$236,871.88 ","$141,191.12 ",, $-   ,"$378,063.00 ","$112,952.90 "
Kearsarge Regional,,"$296,089.84 ","$233,064.81 ",,"$202,373.31 ","$731,527.96 ","$388,825.16 "
Keene,,"$1,409,032.35 ","$1,031,326.96 ",, $-   ,"$2,440,359.31 ","$825,061.57 "
Kensington,,"$59,217.97 ","$65,419.72 ",, $-   ,"$124,637.69 ","$52,335.78 "
Laconia,,"$80,566.05 ","$121,451.33 ",,"$81,337.79 ","$283,355.17 ","$178,498.86 "
Lebanon,,"$473,743.75 ","$332,360.73 ",,"$164,470.91 ","$970,575.39 ","$430,359.49 "
Lempster,,"$59,217.97 ","$30,417.23 ",, $-   ,"$89,635.20 ","$24,333.78 "
Litchfield,,"$59,217.97 ","$37,404.89 ",, $-   ,"$96,622.86 ","$29,923.91 "
Littleton,,"$177,653.91 ","$229,710.70 ",, $-   ,"$407,364.61 ","$183,768.56 "
Londonderry,,"$829,051.56 ","$556,953.29 ",, $-   ,"$1,386,004.85 ","$445,562.63 "
Madison,,"$236,871.88 ","$263,012.30 ",,"$84,019.11 ","$583,903.29 ","$294,428.95 "
Manchester,,"$2,131,846.88 ","$1,789,536.42 ",,"$176,895.94 ","$4,098,279.24 ","$1,608,525.08 "
Marlborough,,"$151,787.50 ","$47,555.85 ",, $-   ,"$199,343.35 ","$38,044.68 "
Marlow,,"$177,653.91 ","$133,387.48 ",,"$77,694.09 ","$388,735.48 ","$184,404.07 "
Mascenic Regional,,"$251,516.48 ","$96,695.11 ",, $-   ,"$347,150.81 ","$77,356.09 "
Mascoma Valley Regional,,"$320,665.30 ","$326,249.59 ",,"$143,468.52 ","$790,383.41 ","$404,468.19 "
Merrimack,,"$1,018,513.53 ","$770,701.65 ",,"$241,554.38 ","$2,022,663.45 ","$858,115.70 "
Merrimack Valley,,"$592,179.69 ","$382,146.35 ",,"$2,416.01 ","$976,742.05 ","$308,133.09 "
Milford,,"$265,503.76 ","$351,985.65 ",,"$78,496.53 ","$686,112.07 ","$360,085.05 "
Milton,,"$592,179.69 ","$278,310.59 ",, $-   ,"$870,490.28 ","$222,648.47 "
Monadnock Regional,,"$545,160.62 ","$286,717.66 ",,"$143,869.50 ","$975,747.78 ","$373,243.63 "
Mont Vernon,,"$243,379.93 ","$102,754.67 ",, $-   ,"$341,704.67 ","$82,203.73 "
Moultonborough,,"$59,217.97 ","$109,976.23 ",,"$69,469.32 ","$238,663.52 ","$157,450.30 "
Nashua,,"$2,325,442.26 ","$1,685,521.67 ",,"$435,083.38 ","$4,446,047.31 ","$1,783,500.72 "
New Boston,,"$59,217.97 ","$42,188.82 ",, $-   ,"$101,406.79 ","$33,751.06 "
Newfound Area,,"$118,435.94 ","$117,575.58 ",, $-   ,"$236,011.52 ","$94,060.46 "
Newmarket,,"$355,307.81 ","$311,361.74 ",,"$3,020.95 ","$669,690.50 ","$252,110.34 "
Newport,,"$236,871.88 ","$167,286.86 ",, $-   ,"$404,158.74 ","$133,829.49 "
North Hampton,,"$59,217.97 ","$41,308.26 ",, $-   ,"$100,526.23 ","$33,046.61 "
Northwood,,"$177,653.91 ","$172,125.65 ",,"$46,055.60 ","$395,835.16 ","$183,756.12 "
Nottingham,,"$118,435.94 ","$117,784.84 ",, $-   ,"$236,220.78 ","$94,227.87 "
Oyster River Cooperative,,"$177,653.91 ","$118,403.43 ",, $-   ,"$296,057.34 ","$94,722.74 "
Pelham,,"$381,174.22 ","$229,836.98 ",, $-   ,"$611,011.20 ","$183,869.58 "
Pembroke,,"$118,435.94 ","$98,881.58 ",, $-   ,"$217,317.52 ","$79,105.26 "
Pemi-Baker Regional,,"$59,217.97 ","$16,933.56 ",, $-   ,"$76,151.53 ","$13,546.85 "
Piermont,,"$59,217.97 ","$93,655.07 ",, $-   ,"$152,873.04 ","$74,924.06 "
Pittsfield,,"$268,760.75 ","$253,264.63 ",, $-   ,"$522,025.39 ","$202,611.71 "
Plainfield,,"$59,217.97 ","$109,976.23 ",,"$149,874.16 ","$319,068.36 ","$237,855.14 "
Plymouth,,"$59,217.97 ","$57,105.77 ",, $-   ,"$116,323.74 ","$45,684.62 "
Portsmouth,,"$473,743.75 ","$402,555.96 ",,"$26,124.07 ","$902,423.78 ","$348,168.84 "
Raymond,,"$710,615.63 ","$671,843.79 ",, $-   ,"$1,382,459.42 ","$537,475.03 "
Rochester,,"$1,884,730.29 ","$907,083.27 ",, $-   ,"$2,791,813.56 ","$725,666.62 "
Salem,,"$746,081.27 ","$658,021.38 ",,"$3,588.49 ","$1,407,691.14 ","$530,005.59 "
Sanborn Regional,,"$355,307.81 ","$286,275.32 ",, $-   ,"$641,583.13 ","$229,020.26 "
Seabrook,,"$129,663.66 ","$115,185.79 ",, $-   ,"$244,849.46 ","$92,148.63 "
Shaker Regional,,"$348,018.08 ","$295,862.46 ",, $-   ,"$643,880.54 ","$236,689.97 "
Somersworth,,"$689,954.48 ","$521,324.28 ",, $-   ,"$1,203,366.98 ","$417,059.42 "
Souhegan Cooperative,,"$399,229.78 ","$347,167.54 ",,"$212,431.12 ","$957,796.10 ","$490,165.15 "
South Hampton,,"$59,217.97 ","$21,217.23 ",, $-   ,"$80,435.20 ","$16,973.78 "
Stratford,,"$59,217.97 ","$68,984.50 ",, $-   ,"$128,202.47 ","$55,187.60 "
Stratham,,"$74,022.46 ","$46,320.14 ",, $-   ,"$120,342.60 ","$37,056.11 "
Sunapee,,"$116,801.52 ","$165,934.74 ",,"$239,430.60 ","$522,166.86 ","$372,178.39 "
Tamworth,,"$76,260.90 ","$57,744.64 ",, $-   ,"$133,901.21 ","$46,195.71 "
Timberlane Regional,,"$1,065,923.44 ","$548,189.00 ",, $-   ,"$1,614,112.44 ","$438,551.20 "
Unity,,"$59,217.97 ","$13,544.67 ",, $-   ,"$72,762.64 ","$10,835.74 "
Wakefield,,"$59,217.97 ","$56,724.79 ",, $-   ,"$115,942.76 ","$45,379.83 "
Weare,,"$118,435.94 ","$77,993.43 ",, $-   ,"$196,429.37 ","$62,394.74 "
White Mountains Regional,,"$118,435.94 ","$158,779.34 ",,"$263,112.02 ","$540,327.30 ","$390,135.49 "
Wilton-Lyndeboro Cooperative,,"$118,435.94 ","$25,853.79 ",, $-   ,"$144,289.73 ","$20,683.03 "
Winchester,,"$414,525.78 ","$244,812.84 ",, $-   ,"$659,338.62 ","$195,850.27 "
Windham,,"$947,487.50 ","$589,468.98 ",, $-   ,"$1,536,956.48 ","$471,575.18 "
Winnacunnet Cooperative,,"$446,408.74 ","$479,168.03 ",,"$142,416.73 ","$1,067,993.49 ","$525,751.15 "
Winnisquam Regional,,"$7,289.73 ","$1,198.53 ",, $-   ,"$8,488.26 ",$958.82 
