375,Nelson,," $92,519.77 ",, $-   ," $181,467.71 "," $71,158.35 "," $51,088.85 ",
377,New Boston,," $92,519.77 ",, $-   ," $197,921.74 "," $84,321.58 "," $60,539.52 ",
388,Newfound Area,," $277,559.32 ",, $-   ," $501,955.52 "," $179,516.96 "," $128,886.00 ",
399,Newmarket,," $185,039.55 ",, $-   ," $333,232.31 "," $118,554.21 "," $85,117.18 ",
401,Newport,," $482,297.45 ",," $40,823.62 "," $908,004.72 "," $348,730.54 "," $250,374.58 ",
411,Northwood,," $462,598.87 ",," $61,712.17 "," $883,125.66 "," $348,763.87 "," $250,398.51 ",
413,Nottingham,," $231,299.43 ",, $-   ," $338,825.00 "," $86,020.46 "," $61,759.25 ",
423,Oyster River Cooperative,," $323,819.21 ",, $-   ," $483,095.65 "," $127,421.15 "," $91,483.29 ",
425,Pelham,," $462,598.87 ",," $22,861.06 "," $825,119.80 "," $294,588.96 "," $211,503.09 ",
427,Pembroke,," $277,559.32 ",," $143,777.90 "," $743,158.31 "," $401,234.77 "," $288,070.52 ",
428,Pemi-Baker Regional,," $92,519.77 ",, $-   ," $186,168.40 "," $74,918.90 "," $53,788.78 ",
435,Piermont,," $46,259.89 ",, $-   ," $126,755.11 "," $64,396.18 "," $46,233.88 ",
439,Pittsfield,," $416,338.98 ",, $-   ," $819,646.69 "," $322,646.17 "," $231,647.04 ",
447,Plymouth,," $92,519.77 ",," $80,236.98 "," $320,744.23 "," $198,626.96 "," $142,606.22 ",
449,Portsmouth,," $601,378.53 ",," $128,500.36 "," $1,081,885.17 "," $410,105.38 "," $294,439.26 ",
450,Profile Regional,," $92,519.77 ",, $-   ," $139,218.15 "," $37,358.70 "," $26,822.06 ",
453,Raymond,," $555,118.64 ",," $32,890.06 "," $1,071,101.62 "," $419,364.40 "," $301,086.86 ",
461,Rochester,," $1,110,237.28 ",, $-   ," $1,623,715.47 "," $410,782.55 "," $294,925.44 ",
467,Rollinsford,," $46,259.89 ",, $-   ," $57,962.85 "," $9,362.37 "," $6,721.81 ",
473,Salem,," $1,110,237.28 ",," $577,494.06 "," $2,782,238.98 "," $1,453,100.17 "," $1,043,267.80 ",
476,Sanborn Regional,," $370,079.09 ",," $15,488.14 "," $632,668.32 "," $213,169.01 "," $153,046.82 ",
485,Seabrook,," $92,519.77 ",, $-   ," $174,149.63 "," $65,303.89 "," $46,885.58 ",
486,Shaker Regional,," $92,519.77 ",, $-   ," $233,535.57 "," $112,812.64 "," $80,994.96 ",
491,Somersworth,," $377,831.44 ",," $339,741.96 "," $1,152,925.75 "," $688,023.84 "," $493,973.60 ",
493,Souhegan Cooperative,," $370,079.09 ",," $181,874.91 "," $854,004.88 "," $423,515.61 "," $304,067.27 ",
495,South Hampton,," $46,259.89 ",, $-   ," $67,104.88 "," $16,675.99 "," $11,972.70 ",
501,Stewartstown,," $46,259.89 ",, $-   ," $127,405.47 "," $64,916.46 "," $46,607.42 ",
503,Stoddard,," $185,039.55 ",, $-   ," $251,126.31 "," $52,869.41 "," $37,958.12 ",
507,Strafford,," $92,519.77 ",, $-   ," $105,867.88 "," $10,678.49 "," $7,666.73 ",
511,Stratham,," $46,259.89 ",, $-   ," $76,111.28 "," $23,881.11 "," $17,145.68 ",
515,Sunapee,," $282,388.85 ",," $26,359.13 "," $510,045.63 "," $187,397.25 "," $134,543.73 ",
525,Tamworth,," $46,259.89 ",, $-   ," $81,443.60 "," $28,146.97 "," $20,208.40 ",
534,Timberlane Regional,," $925,197.73 ",," $92,771.94 "," $1,864,703.31 "," $770,158.85 "," $552,943.25 ",
539,Unity,," $277,559.32 ",, $-   ," $510,614.45 "," $186,444.10 "," $133,859.41 ",
543,Wakefield,," $46,259.89 ",, $-   ," $75,134.00 "," $23,099.29 "," $16,584.36 ",
551,Weare,," $92,519.77 ",," $9,360.59 "," $241,677.45 "," $121,198.26 "," $87,015.50 ",
563,Westmoreland,," $46,259.89 ",, $-   ," $86,599.11 "," $32,271.38 "," $23,169.56 ",
568,White Mountains Regional,," $46,259.89 ",," $83,774.57 "," $215,945.67 "," $152,503.54 "," $109,491.44 ",
572,Wilton-Lyndeboro Cooperative,," $416,338.98 ",," $10,530.65 "," $659,036.43 "," $196,264.09 "," $140,909.77 ",
573,Winchester,," $253,921.03 ",," $69,108.80 "," $478,179.18 "," $193,228.28 "," $138,730.18 ",
575,Windham,," $740,158.19 ",," $91,193.99 "," $1,491,008.01 "," $618,918.65 "," $444,358.84 ",
581,Winnacunnet Cooperative,," $231,299.43 ",," $110,545.54 "," $690,783.00 "," $389,695.96 "," $279,786.11 ",
582,Winnisquam Regional,," $231,299.43 ",," $199,961.14 "," $539,277.79 "," $286,374.92 "," $205,605.73 ",
,,,,,,,,,
,,"Entitlement = 80% of expenditures over $46,259.89 (3 1/2 time estimated state average expenditure per  ",,,,,,,
,,"pupil) and 100% of expenditures over $132,171.10 (10 time estimated state average expenditure per  ",,,,,,,
,,pupil).  Entitlement prorated to 71.7960%.  ,,,,,,,
,,Expenditures include 100% of eligible transportation expenditures.,,,,,,,
