 ,,,,,,,,,
FY'24 Special Education School Year 2022-2023,,,,,,,,,
,,,,,,,,,
,Districts ,Sum of Number of Students Reported,Sum of District Liability for CAP,Sum of District Cost from 3.5 to 10 * ECPP,"Sum of # Students Over 
10*ECPP",Sum of District Cost Over 10 * ECPP,Sum of District Cost,Sum of Entitlement,  Prorated at 87.038%
,Concord,," $866,050.66 "," $624,872.38 ",," $287,665.76 "," $1,778,588.80 "," $787,563.66 "," $685,481.14 "
,Contoocook Valley,," $314,809.41 "," $233,925.35 ",, $-   ," $548,734.77 "," $187,140.28 "," $162,883.51 "
,Deerfield,," $333,096.41 "," $314,590.30 ",, $-   ," $647,686.71 "," $251,672.24 "," $219,050.96 "
,Derry Cooperative,," $3,103,765.67 "," $1,780,706.56 ",, $-   ," $4,884,472.23 "," $1,424,565.25 "," $1,239,915.78 "
,Dover,," $2,265,055.56 "," $1,823,744.24 ",," $186,916.54 "," $4,275,716.34 "," $1,645,911.93 "," $1,432,571.92 "
,Dresden,," $331,084.50 "," $562,859.35 ",," $363,131.48 "," $1,257,075.34 "," $813,418.96 "," $707,985.12 "
,East Kingston,," $66,619.28 "," $112,303.94 ",, $-   ," $178,923.22 "," $89,843.15 "," $78,197.85 "
,Epping,," $266,477.13 "," $192,873.03 ",, $-   ," $459,350.16 "," $154,298.42 "," $134,298.55 "
,Epsom,," $160,872.24 "," $122,416.99 ",, $-   ," $283,289.23 "," $97,933.59 "," $85,239.63 "
,Exeter,," $199,857.84 "," $153,134.86 ",, $-   ," $352,992.70 "," $122,507.89 "," $106,628.65 "
,Exeter Regional Cooperative,," $1,039,147.53 "," $817,667.20 ",, $-   ," $1,856,814.74 "," $654,133.76 "," $569,346.17 "
,Fall Mountain Regional,," $532,954.25 "," $507,467.02 ",," $289,302.60 "," $1,329,723.87 "," $695,276.22 "," $605,155.82 "
,Farmington,," $199,857.84 "," $204,819.87 ",, $-   ," $404,677.71 "," $163,855.90 "," $142,617.20 "
,Fremont,," $266,477.13 "," $101,767.81 ",, $-   ," $368,244.94 "," $81,414.25 "," $70,861.49 "
,Gilford,," $199,857.84 "," $59,418.24 ",, $-   ," $259,276.08 "," $47,534.59 "," $41,373.25 "
,Gilmanton,," $112,193.53 "," $59,557.94 ",, $-   ," $171,751.47 "," $47,646.35 "," $41,470.52 "
,Goffstown,," $532,954.25 "," $337,108.14 ",, $-   ," $870,062.39 "," $269,686.51 "," $234,730.25 "
,Gorham Randolph Shelburne Cooperative,," $133,238.56 "," $247,443.04 ",," $342,178.82 "," $722,860.42 "," $540,133.25 "," $470,122.19 "
,Governor Wentworth Regional,," $266,477.13 "," $362,448.01 ",, $40.75 ," $628,965.89 "," $289,999.16 "," $252,410.01 "
,Greenland,," $101,394.55 "," $88,825.13 ",, $-   ," $190,219.67 "," $71,060.10 "," $61,849.42 "
,Hampstead,," $1,167,116.51 "," $939,613.63 ",," $1,925.56 "," $2,108,655.70 "," $753,616.46 "," $655,934.11 "
,Hampton,," $424,551.36 "," $434,293.18 ",, $-   ," $858,844.54 "," $347,434.55 "," $302,400.73 "
,Hampton Falls,," $133,238.56 "," $49,072.94 ",, $-   ," $182,311.50 "," $39,258.35 "," $34,169.76 "
,Hanover,," $2,011.90 "," $25,799.75 ",, $-   ," $27,811.65 "," $20,639.80 "," $17,964.51 "
,Henniker,," $66,619.28 "," $69,171.12 ",, $-   ," $135,790.40 "," $55,336.90 "," $48,164.23 "
,Hillsboro-Deering Cooperative,," $133,238.56 "," $126,503.87 ",, $-   ," $259,742.43 "," $101,203.10 "," $88,085.34 "
,Hinsdale,," $399,715.69 "," $177,513.74 ",, $-   ," $577,229.43 "," $142,010.99 "," $123,603.79 "
,Hollis,," $66,619.28 "," $8,817.77 ",, $-   ," $75,437.05 "," $7,054.22 "," $6,139.86 "
,Hollis-Brookline Cooperative,," $381,741.80 "," $413,410.49 ",," $26,620.71 "," $821,773.01 "," $357,349.10 "," $311,030.18 "
,Hooksett,," $1,065,908.50 "," $1,084,189.70 ",," $16,866.34 "," $2,166,964.54 "," $884,218.10 "," $769,607.41 "
,Hopkinton,," $399,715.69 "," $184,413.27 ",, $-   ," $584,128.96 "," $147,530.62 "," $128,407.97 "
,Hudson,," $932,669.94 "," $745,784.12 ",," $101,333.71 "," $1,779,787.77 "," $697,961.01 "," $607,492.61 "
,Inter-Lakes Cooperative,," $199,857.84 "," $163,448.61 ",, $-   ," $363,306.45 "," $130,758.89 "," $113,810.17 "
,Jaffrey-Rindge Cooperative,," $866,050.66 "," $744,867.87 ",," $258,966.59 "," $1,869,885.12 "," $854,860.89 "," $744,055.42 "
,John Stark Regional,," $55,640.42 "," $12,982.20 ",, $-   ," $68,622.62 "," $10,385.76 "," $9,039.58 "
,Kearsarge Regional,," $199,857.84 "," $209,673.69 ",, $-   ," $409,531.53 "," $167,738.95 "," $145,996.94 "
,Keene,," $1,732,101.31 "," $830,719.60 ",, $-   ," $2,562,820.91 "," $664,575.68 "," $578,434.63 "
,Laconia,," $66,619.28 "," $123,721.52 ",," $125,972.99 "," $316,313.79 "," $224,950.21 "," $195,792.58 "
,Lebanon,," $266,477.13 "," $198,922.41 ",, $-   ," $465,399.54 "," $159,137.93 "," $138,510.77 "
,Lempster,," $66,619.28 "," $57,016.07 ",, $-   ," $123,635.35 "," $45,612.86 "," $39,700.60 "
,Lincoln-Woodstock Cooperative,," $66,619.28 "," $92,356.02 ",, $-   ," $158,975.30 "," $73,884.82 "," $64,308.00 "
,Lisbon Regional,," $66,619.28 "," $123,721.52 ",," $147,331.65 "," $337,672.45 "," $246,308.87 "," $214,382.77 "
,Litchfield,," $199,857.84 "," $188,174.04 ",, $-   ," $388,031.88 "," $150,539.23 "," $131,026.62 "
,Londonderry,," $999,289.22 "," $836,174.62 ",, $-   ," $1,835,463.84 "," $668,939.70 "," $582,232.99 "
,Madison,," $133,238.56 "," $247,443.04 ",," $483,322.72 "," $864,004.32 "," $681,277.15 "," $592,971.29 "
,Manchester,," $2,182,454.31 "," $1,814,220.64 ",," $100,119.80 "," $4,096,794.75 "," $1,551,496.31 "," $1,350,394.27 "
,Marlow,," $133,238.56 "," $34,125.50 ",, $-   ," $167,364.06 "," $27,300.40 "," $23,761.77 "
,Mascenic Regional,," $199,857.84 "," $54,803.36 ",, $-   ," $254,661.20 "," $43,842.69 "," $38,159.88 "
,Mascoma Valley Regional,," $532,954.25 "," $683,263.62 ",," $182,345.71 "," $1,398,563.58 "," $728,956.61 "," $634,470.62 "
,Merrimack,," $1,076,927.33 "," $647,395.66 ",," $138,016.08 "," $1,862,339.07 "," $655,932.61 "," $570,911.86 "
,Merrimack Valley,," $532,954.25 "," $633,842.00 ",," $33,325.57 "," $1,200,121.82 "," $540,399.17 "," $470,353.64 "
,Milford,," $599,573.53 "," $646,245.97 ",," $132,742.22 "," $1,378,561.72 "," $649,739.00 "," $565,521.05 "
,Milton,," $599,573.53 "," $353,529.03 ",, $-   ," $953,102.56 "," $282,823.22 "," $246,164.21 "
,Monadnock Regional,," $1,199,147.06 "," $995,726.97 ",," $151,816.73 "," $2,346,690.76 "," $948,398.31 "," $825,468.70 "
,Mont Vernon,," $66,619.28 "," $50,992.47 ",, $-   ," $117,611.75 "," $40,793.98 "," $35,506.34 "
,Moultonborough,," $66,619.28 "," $123,721.52 ",," $55,210.46 "," $245,551.26 "," $154,187.68 "," $134,202.16 "
,Nashua,," $1,465,624.19 "," $1,062,495.66 ",," $335,773.74 "," $2,863,893.59 "," $1,185,770.27 "," $1,032,072.95 "
,New Boston,," $133,238.56 "," $75,270.84 ",, $-   ," $208,509.40 "," $60,216.67 "," $52,411.50 "
,New Castle,," $66,619.28 "," $1,698.87 ",, $-   ," $68,318.15 "," $1,359.10 "," $1,182.93 "
,Newfound Area,," $133,238.56 "," $175,169.48 ",, $-   ," $308,408.04 "," $140,135.58 "," $121,971.47 "
,Newmarket,," $599,573.53 "," $465,235.67 ",," $48,109.84 "," $1,112,919.04 "," $420,298.38 "," $365,820.09 "
,Newport,," $133,238.56 "," $97,696.59 ",, $-   ," $230,935.15 "," $78,157.27 "," $68,026.67 "
,North Hampton,," $31,844.02 "," $31,153.23 ",, $-   ," $62,997.25 "," $24,922.59 "," $21,692.17 "
,Northwood,," $199,857.84 "," $145,327.65 ",, $-   ," $345,185.49 "," $116,262.12 "," $101,192.44 "
,Nottingham,," $199,857.84 "," $230,310.41 ",, $-   ," $430,168.25 "," $184,248.33 "," $160,366.41 "
,Oyster River Cooperative,," $532,954.25 "," $333,282.94 ",, $-   ," $866,237.19 "," $266,626.35 "," $232,066.75 "
,Pelham,," $532,954.25 "," $521,289.79 ",," $102,263.12 "," $1,156,507.16 "," $519,294.95 "," $451,984.92 "
,Pembroke,," $532,954.25 "," $449,165.02 ",, $-   ," $982,119.27 "," $359,332.02 "," $312,756.08 "
,Pemi-Baker Regional,," $266,477.13 "," $63,403.68 ",, $-   ," $329,880.81 "," $50,722.94 "," $44,148.33 "
,Piermont,," $66,619.28 "," $123,721.52 ",," $193,349.21 "," $383,690.01 "," $292,326.43 "," $254,435.62 "
,Pittsfield,," $333,096.41 "," $349,817.76 ",," $14,236.95 "," $697,151.12 "," $294,091.16 "," $255,971.61 "
,Plainfield,," $133,238.56 "," $150,002.20 ",," $281,700.91 "," $564,941.67 "," $401,702.67 "," $349,634.72 "
,Plymouth,," $19,219.66 "," $9,357.37 ",, $-   ," $28,577.03 "," $7,485.89 "," $6,515.59 "
,Portsmouth,," $999,289.22 "," $783,286.40 ",," $284,437.36 "," $2,067,012.98 "," $911,066.48 "," $792,975.75 "
,Raymond,," $854,985.19 "," $934,742.13 ",," $50,599.55 "," $1,840,326.88 "," $798,393.26 "," $694,907.02 "
,Rochester,," $1,437,990.51 "," $1,046,602.65 ",, $-   ," $2,484,593.16 "," $837,282.12 "," $728,755.18 "
,Rye,," $117,836.18 "," $52,539.44 ",, $-   ," $170,375.62 "," $42,031.55 "," $36,583.50 "
,Salem,," $866,050.66 "," $697,319.68 ",," $25,164.86 "," $1,588,535.20 "," $583,020.60 "," $507,450.57 "
,Sanborn Regional,," $133,238.56 "," $247,443.04 ",," $194,988.60 "," $575,670.20 "," $392,943.03 "," $342,010.49 "
,Seabrook,," $266,477.13 "," $272,339.96 ",, $-   ," $538,817.09 "," $217,871.97 "," $189,631.81 "
,Shaker Regional,," $333,096.41 "," $174,662.30 ",, $-   ," $507,758.71 "," $139,729.84 "," $121,618.32 "
,Somersworth,," $666,192.81 "," $701,829.54 ",," $1,095.23 "," $1,369,117.58 "," $562,558.86 "," $489,641.04 "
,Souhegan Cooperative,," $333,096.41 "," $217,587.96 ",," $271,672.89 "," $822,357.26 "," $445,743.26 "," $387,966.85 "
,South Hampton,," $66,619.28 "," $20,535.71 ",, $-   ," $87,154.99 "," $16,428.57 "," $14,299.13 "
,Stewartstown,," $66,619.28 "," $4,654.27 ",, $-   ," $71,273.55 "," $3,723.42 "," $3,240.79 "
,Strafford,," $66,619.28 "," $6,862.37 ",, $-   ," $73,481.65 "," $5,489.90 "," $4,778.31 "
,Stratham,," $133,238.56 "," $99,143.61 ",, $-   ," $232,382.17 "," $79,314.89 "," $69,034.24 "
,Sullivan,," $46,307.06 "," $27,773.92 ",, $-   ," $74,080.98 "," $22,219.13 "," $19,339.13 "
,Sunapee,," $66,619.28 "," $123,721.52 ",," $167,934.45 "," $358,275.25 "," $266,911.67 "," $232,315.08 "
,Tamworth,," $66,619.28 "," $96,774.99 ",, $-   ," $163,394.27 "," $77,419.99 "," $67,384.96 "
,Timberlane Regional,," $1,065,908.50 "," $539,144.04 ",, $-   ," $1,605,052.54 "," $431,315.23 "," $375,408.96 "
,Wakefield,," $133,238.56 "," $87,243.39 ",, $-   ," $220,481.95 "," $69,794.71 "," $60,748.05 "
,Weare,," $66,619.28 "," $10,358.22 ",, $-   ," $76,977.50 "," $8,286.58 "," $7,212.49 "
,Wentworth,," $66,619.28 "," $123,721.52 ",," $285,503.81 "," $475,844.61 "," $384,481.03 "," $334,645.32 "
,White Mountains Regional,," $133,238.56 "," $200,026.99 ",," $164,909.60 "," $498,175.15 "," $324,931.19 "," $282,814.22 "
,Wilton-Lyndeboro Cooperative,," $133,238.56 "," $39,567.55 ",, $-   ," $172,806.11 "," $31,654.04 "," $27,551.10 "
,Winchester,," $466,334.97 "," $200,650.92 ",, $-   ," $666,985.89 "," $160,520.74 "," $139,714.34 "
,Windham,," $831,461.92 "," $796,365.38 ",," $39,249.29 "," $1,667,076.60 "," $676,341.59 "," $588,675.47 "
,Winnacunnet Cooperative,," $466,334.97 "," $520,827.05 ",, $-   ," $987,162.02 "," $416,661.64 "," $362,654.74 "
,Winnisquam Regional,," $66,619.28 "," $52,709.57 ",, $-   ," $119,328.85 "," $42,167.66 "," $36,701.96 "
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
