,,,,,,,,
District  ID,District of Liability,Number of Students Reported,District Cost from 3.5 to 10 * ECPP,"# Students Over 
10*ECPP",District Cost Over 10 * ECPP,Total District Cost,Entitlement,Prorated Entitlement 70%
127,Deerfield,," 201,452.34 ",, -   ," 422,706.65 "," 161,161.87 "," 113,169.21 "
131,Derry Cooperative,," 1,584,906.79 ",," 99,586.02 "," 4,782,053.19 "," 1,367,511.45 "," 960,277.95 "
141,Dover,," 692,671.23 ",," 59,274.42 "," 1,858,217.21 "," 613,411.40 "," 430,742.60 "
142,Dresden,," 226,370.59 ",," 154,629.94 "," 600,258.96 "," 335,726.41 "," 235,749.89 "
149,Dunbarton,," 71,075.66 ",, -   ," 347,643.55 "," 56,860.53 "," 39,927.94 "
165,Epping,," 108,671.70 ",, -   ," 440,553.17 "," 86,937.36 "," 61,048.14 "
167,Epsom,," 168,113.54 ",, -   ," 378,935.71 "," 134,490.83 "," 94,440.58 "
173,Exeter,," 13,383.92 ",, -   ," 68,697.50 "," 10,707.14 "," 7,518.64 "
172,Exeter Regional Cooperative,," 692,719.32 ",," 51,701.01 "," 1,518,810.42 "," 605,876.47 "," 425,451.51 "
174,Fall Mountain Regional,," 295,699.12 ",," 4,004.22 "," 686,898.39 "," 240,563.52 "," 168,925.71 "
175,Farmington,," 167,831.05 ",, -   ," 420,387.31 "," 134,264.84 "," 94,281.89 "
185,Franklin,," 93,725.22 ",, -   ," 259,665.95 "," 74,980.18 "," 52,651.70 "
189,Fremont,," 164,756.98 ",," 203,501.97 "," 478,886.11 "," 335,307.55 "," 235,455.76 "
191,Gilford,," 115,855.32 ",, -   ," 613,677.52 "," 92,684.26 "," 65,083.66 "
195,Gilmanton,," 22,245.19 ",, -   ," 132,872.35 "," 17,796.15 "," 12,496.61 "
199,Goffstown,," 291,533.86 ",," 22,014.90 "," 645,430.23 "," 255,241.99 "," 179,233.05 "
203,Gorham Randolph Shelburne Coop,," 205,450.44 ",," 50,580.18 "," 366,657.78 "," 214,940.53 "," 150,933.03 "
208,Governor Wentworth Regional,," 319,042.99 ",," 14,457.42 "," 776,009.04 "," 269,691.81 "," 189,379.84 "
211,Grantham,," 116,863.08 ",," 94,950.51 "," 322,440.75 "," 188,440.97 "," 132,324.82 "
215,Greenland,," 193,160.99 ",, -   ," 359,101.72 "," 154,528.79 "," 108,511.41 "
223,Hampstead,," 321,500.61 ",," 97,542.42 "," 861,551.66 "," 354,742.91 "," 249,103.43 "
225,Hampton,," 308,667.21 ",, -   ," 585,235.10 "," 246,933.77 "," 173,398.95 "
233,Hanover,," 68,522.79 ",, -   ," 278,244.21 "," 54,818.23 "," 38,493.82 "
238,Haverhill Cooperative,," 122,628.63 ",, -   ," 343,882.94 "," 98,102.90 "," 68,888.68 "
245,Henniker,," 128,634.84 ",," 19,678.72 "," 258,940.72 "," 122,586.59 "," 86,081.33 "
251,Hillsboro-Deering Cooperative,," 157,449.68 ",," 24,830.48 "," 292,907.32 "," 150,790.22 "," 105,886.15 "
255,Hinsdale,," 67,128.64 ",, -   ," 343,696.53 "," 53,702.91 "," 37,710.63 "
257,Holderness,," 46,093.90 ",, -   ," 101,407.48 "," 36,875.12 "," 25,894.02 "
259,Hollis,," 4,939.60 ",, -   ," 9,497.44 "," 3,951.68 "," 2,774.90 "
260,Hollis/Brookline Cooperative,," 640,251.90 ",," 322,561.38 "," 1,456,077.65 "," 834,762.90 "," 586,177.47 "
261,Hooksett,," 399,318.20 ",, -   ," 1,394,962.61 "," 319,454.56 "," 224,323.66 "
263,Hopkinton,," 230,540.86 ",," 48,873.53 "," 511,100.84 "," 233,306.22 "," 163,829.57 "
267,Hudson,," 579,953.45 ",," 168,003.77 "," 1,301,093.00 "," 631,966.53 "," 443,772.17 "
274,Jaffrey-Rindge Cooperative,," 513,981.50 ",," 153,328.25 "," 1,275,759.11 "," 564,513.45 "," 396,406.05 "
275,John Stark Regional,," 73,513.69 ",, -   ," 184,140.85 "," 58,810.95 "," 41,297.54 "
276,Kearsarge Regional,," 514,644.89 ",," 542,453.89 "," 1,444,293.83 "," 954,169.80 "," 670,025.99 "
279,Keene,," 939,319.12 ",," 262,995.22 "," 2,197,958.75 "," 1,014,450.52 "," 712,355.61 "
285,Laconia,," 47,294.21 ",, -   ," 102,607.79 "," 37,835.37 "," 26,568.31 "
295,Lebanon,," 320,981.91 ",," 255,689.49 "," 908,552.87 "," 512,475.02 "," 359,864.23 "
315,Litchfield,," 155,503.98 ",, -   ," 432,071.87 "," 124,403.18 "," 87,356.95 "
317,Littleton,," 99,797.52 ",, -   ," 210,424.68 "," 79,838.02 "," 56,062.92 "
319,Londonderry,," 614,265.08 ",," 56,798.43 "," 1,279,512.87 "," 548,210.49 "," 384,957.98 "
327,Lyme,," 102,725.22 ",," 11,071.67 "," 169,110.47 "," 93,251.85 "," 65,482.22 "
333,Madison,," 203,578.50 ",," 7,029.46 "," 321,235.12 "," 169,892.26 "," 119,299.76 "
335,Manchester,," 1,833,951.14 ",," 253,250.87 "," 4,299,745.14 "," 1,720,411.78 "," 1,208,087.50 "
339,Marlborough,," 67,215.22 ",, -   ," 288,469.53 "," 53,772.18 "," 37,759.27 "
341,Marlow,," 48,411.42 ",, -   ," 103,725.00 "," 38,729.14 "," 27,195.92 "
342,Mascenic Regional,," 174,941.17 ",," 23,048.54 "," 363,930.44 "," 163,001.48 "," 114,461.00 "
343,Mascoma Valley Regional,," 153,833.09 ",, -   ," 485,714.56 "," 123,066.47 "," 86,418.30 "
351,Merrimack,," 952,263.50 ",," 430,017.42 "," 3,207,629.00 "," 1,191,828.22 "," 836,911.72 "
352,Merrimack Valley,," 274,957.18 ",, -   ," 902,401.22 "," 219,965.74 "," 154,461.78 "
357,Milford,," 224,296.89 ",, -   ," 722,119.09 "," 179,437.51 "," 126,002.52 "
359,Milton,," 53,787.62 ",, -   ," 275,041.93 "," 43,030.10 "," 30,216.09 "
363,Monadnock Regional,," 529,109.39 ",, -   ," 1,192,872.33 "," 423,287.51 "," 297,236.02 "
367,Mont Vernon,," 44,672.09 ",, -   ," 210,612.82 "," 35,737.67 "," 25,095.29 "
369,Moultonborough,," 102,725.22 ",," 141,216.98 "," 299,255.78 "," 223,397.16 "," 156,871.35 "
371,Nashua,," 1,085,114.93 ",," 106,786.08 "," 2,961,935.51 "," 974,878.02 "," 684,567.48 "
377,New Boston,," 95,239.64 ",, -   ," 261,180.37 "," 76,191.71 "," 53,502.46 "
387,Newfields,," 18,706.62 ",, -   ," 74,020.20 "," 14,965.30 "," 10,508.76 "
388,Newfound Area,," 74,321.49 ",, -   ," 184,948.65 "," 59,457.19 "," 41,751.34 "
399,Newmarket,," 324,945.21 ",," 67,110.83 "," 723,937.51 "," 327,067.00 "," 229,669.17 "
401,Newport,," 335,508.85 ",," 11,608.43 "," 844,939.48 "," 280,015.51 "," 196,629.23 "
405,North Hampton,," 102,725.22 ",," 14,613.02 "," 172,651.82 "," 96,793.20 "," 67,968.99 "
411,Northwood,," 128,109.85 ",, -   ," 349,364.16 "," 102,487.88 "," 71,967.84 "
413,Nottingham,," 104,135.64 ",, -   ," 214,762.80 "," 83,308.51 "," 58,499.93 "
423,Oyster River Cooperative,," 122,182.01 ",, -   ," 454,063.48 "," 97,745.61 "," 68,637.78 "
425,Pelham,," 604,208.34 ",," 51,449.30 "," 1,540,674.89 "," 534,815.97 "," 375,552.24 "
427,Pembroke,," 42,883.77 ",, -   ," 209,243.30 "," 34,307.02 "," 24,090.67 "
428,Pemi-Baker Regional,," 192,014.34 ",," 15,773.41 "," 345,618.13 "," 169,384.88 "," 118,943.48 "
435,Piermont,," 102,725.22 ",," 131,016.30 "," 289,055.10 "," 213,196.48 "," 149,708.34 "
439,Pittsfield,," 256,528.92 ",," 200,623.76 "," 878,671.57 "," 405,846.90 "," 284,989.08 "
441,Plainfield,," 148,693.74 ",," 132,000.01 "," 391,320.91 "," 250,955.00 "," 176,222.70 "
447,Plymouth,," 107,527.82 ",, -   ," 218,154.98 "," 86,022.26 "," 60,405.55 "
449,Portsmouth,," 200,897.17 ",," 34,151.00 "," 677,556.80 "," 194,868.74 "," 136,838.45 "
453,Raymond,," 255,889.63 ",, -   ," 532,457.52 "," 204,711.70 "," 143,750.27 "
461,Rochester,," 1,193,572.21 ",," 8,773.20 "," 3,157,011.10 "," 963,630.97 "," 676,669.70 "
463,Rollinsford,," 63,510.80 ",, -   ," 174,137.96 "," 50,808.64 "," 35,678.25 "
467,Rumney,," 1,569.56 ",, -   ," 84,993.50 "," 1,255.65 ", 881.73 
471,Rye,," 77,852.08 ",, -   ," 133,165.66 "," 62,281.66 "," 43,734.70 "
473,Salem,," 821,053.12 ",," 201,432.40 "," 2,018,129.93 "," 858,274.90 "," 602,687.79 "
476,Sanborn Regional,," 376,225.62 ",," 27,815.62 "," 735,922.71 "," 328,796.12 "," 230,883.38 "
485,Seabrook,," 148,555.03 ",," 14,604.65 "," 273,786.84 "," 133,448.67 "," 93,708.77 "
486,Shaker Regional,," 65,559.56 ",, -   ," 286,813.87 "," 52,447.65 "," 36,829.18 "
491,Somersworth,," 415,828.94 ",, -   ," 803,023.99 "," 332,663.15 "," 233,598.84 "
493,Souhegan Cooperative,," 325,647.36 ",," 22,994.15 "," 901,777.29 "," 283,512.04 "," 199,084.52 "
503,Stoddard,," 15,686.53 ",, -   ," 71,000.11 "," 12,549.22 "," 8,812.17 "
511,Stratham,," 111,865.19 ",, -   ," 222,492.35 "," 89,492.15 "," 62,842.14 "
515,Sunapee,," 298,309.39 ",," 46,504.58 "," 510,754.70 "," 285,152.09 "," 200,236.18 "
534,Timberlane Regional,," 1,026,529.14 ",," 30,326.32 "," 2,329,067.76 "," 851,549.63 "," 597,965.25 "
539,Unity,," 195,439.97 ",," 36,798.42 "," 342,865.55 "," 193,150.40 "," 135,631.82 "
555,Weare,," 98,660.82 ",, -   ," 209,287.98 "," 78,928.66 "," 55,424.36 "
563,Westmoreland,," 36,871.49 ",, -   ," 92,185.07 "," 29,497.19 "," 20,713.17 "
568,White Mountains Regional,," 102,725.22 ",," 37,195.46 "," 195,234.26 "," 119,375.64 "," 83,826.57 "
572,Wilton-Lyndeboro Cooperative,," 152,920.30 ",," 74,675.40 "," 393,536.43 "," 197,011.64 "," 138,343.22 "
575,Windham,," 600,418.64 ",," 6,886.90 "," 1,437,009.21 "," 487,221.81 "," 342,131.22 "
581,Winnacunnet Cooperative,," 658,125.90 ",," 414,206.49 "," 1,483,539.07 "," 940,707.21 "," 660,572.45 "
582,Winnisquam Regional,," 77,182.33 ",, -   ," 243,123.06 "," 61,745.86 "," 43,358.46 "
 ,,,,,,,,
