,, , ,,,,,
New Hampshire Department of Education,,,,,,,,
Division of Career Technology and Adult Learning,,,,,,,,
Bureau of Career Development,,,,,,,,
,,,,,,,,
FY18 CTE Tuition and Transportation Distribution,,,,,,,,
(School Year 2016-17),,,,,,,,
,,,,,,,,
DISTRICT NAME,TUITION PAYMENT,TRANS PAYMENT,TOTAL PAYMENT,,,,,
Lebanon," 161,756.33 "," 7,237.48 "," 168,993.81 ", ,,,,
Lincoln-Woodstock Cooperative, -   ," 12,406.40 "," 12,406.40 ", ,,,,
Lisbon Regional, -   ," 11,851.40 "," 11,851.40 ", ,,,,
Litchfield, -   ," 8,330.14 "," 8,330.14 ", ,,,,
Littleton*," 340,432.07 "," 5,625.20 "," 346,057.27 ", ,,,,
Londonderry, -   ," 19,255.20 "," 19,255.20 ",,,,,
Lyme," 6,693.35 ", -   ," 6,693.35 ",,,,,
Manchester," 641,448.43 ", -   ," 641,448.43 ", ,,,,
Mascenic Regional," 58,009.08 "," 3,621.00 "," 61,630.08 ", ,,,,
Mascoma Valley," 179,047.09 "," 26,097.00 "," 205,144.09 ", ,,,,
Merrimack, -   ," 10,527.80 "," 10,527.80 ", ,,,,
Merrimack Valley, -   ," 22,311.60 "," 22,311.60 ", ,,,,
Milford," 56,893.80 "," 5,843.80 "," 62,737.60 ", ,,,,
Milton, -   ," 6,008.00 "," 6,008.00 ", ,,,,
Monadnock Regional, -   ," 6,996.00 "," 6,996.00 ", ,,,,
Moultonboro, -   ," 2,505.60 "," 2,505.60 ", ,,,,
Nashua," 191,319.35 "," 2,540.00 "," 193,859.35 ", ,,,,
Newfound Area, -   ," 4,683.00 "," 4,683.00 ",,,,,
Newmarket, -   ," 17,251.20 "," 17,251.20 ",,,,,
Newport," 36,813.59 "," 1,116.00 "," 37,929.59 ",,,,,
Northumberland, -   ," 18,822.20 "," 18,822.20 ",,,,,
Oyster River Cooperative, -   ," 2,773.60 "," 2,773.60 ",,,,,
Pelham, -   ," 15,009.20 "," 15,009.20 ",,,,,
Pembroke,," 13,201.20 "," 13,201.20 ",,,,,
Pemi-Baker Regional," 34,582.70 ", -   ," 34,582.70 ",,,,,
Piermont," 10,597.91 ", 122.40 ," 10,720.31 ",,,,,
Pittsfield, -   ," 8,803.50 "," 8,803.50 ",,,,,
Portsmouth, -   , -   , -   ,,,,,
Profile, -   ," 6,360.80 "," 6,360.80 ",,,,,
Raymond, -   ," 18,939.20 "," 18,939.20 ",,,,,
Rivendell ," 17,291.27 ", 950.84 ," 18,242.11 ",,,,,
Rochester," 26,773.39 "," 9,620.80 "," 36,394.19 ",,,,,
Salem," 238,730.18 "," 8,185.00 "," 246,915.18 ",,,,,
Sanborn Regional, -   ," 26,134.20 "," 26,134.20 ",   ,,,,
Shaker Regional, -   ," 8,681.40 "," 8,681.40 ",,,,,
Somersworth," 22,311.28 "," 5,230.80 "," 27,542.08 ",,,,,
Souhegan Cooperative, -   ," 4,395.00 "," 4,395.00 ",,,,,
South Hampton," 6,693.35 ", 534.33 ," 7,227.68 ",,,,,
Sunapee, -   ," 2,069.20 "," 2,069.20 ",,,,,
Timberlane Regional, -   ," 32,525.30 "," 32,525.30 ",,,,,
Warren," 13,944.59 "," 1,411.68 "," 15,356.27 ",,,,,
White Mountains Regional*," 113,205.23 "," 13,619.20 "," 126,824.43 ",,,,,
Wilton-Lyndeboro Cooperative, -   ," 2,327.00 "," 2,327.00 ",,,,,
Windham, -   ," 11,180.20 "," 11,180.20 ",,,,,
Winnacunnet Cooperative, -   ," 15,251.60 "," 15,251.60 ",,,,,
Winnisquam Regional," 39,602.71 "," 19,360.00 "," 58,962.71 ",,,,,
Pinkerton Academy," 301,758.94 ", -   ," 301,758.94 ", ,,,,
Prospect Mountain, -   ," 10,281.60 "," 10,281.60 ",,,,,
,   ,   ,,,,,,
,,   ,,,,,,
Tuition & Transportation  Alternative Education,,   ,,,,,,
,,,,,,,,
Franklin, -   ," 1,287.00 "," 1,287.00 ",,,,,
Hudson, -   , -   ,,,,,,
Gilford, -   , 60.00 , 60.00 ,,,,,
Interlakes, -   , 919.60 , 919.60 ,,,,,
Litchfield," 2,250.00 ", -   ," 2,250.00 ",,,,,
Londonderry," 9,187.50 ", -   ," 9,187.50 ",,,,,
Laconia," 34,582.69 ", -   ," 34,582.69 ",,,,,
Nashua," 3,000.00 ", -   ," 3,000.00 ",,,,,
Pinkerton Academy, -   , -   , -   ,,,,,
Shaker Regional, -   , -   , -   ,,,,,
Winnisquam Regional, -   ," 1,116.00 "," 1,116.00 ",,,,,
,   ,   ,   ,,,,,
*Tuition Payment includes tuition differential,    ,   ,   ,,,,,
 ,   ,   ,   ,,,,,
EQUAL OPPORTUNITY EMPLOYER - EQUAL EDUCATION OPPORTUNITIES,,,,,,,,
,,,,,,,,
,   ,   ,   ,,,,,
,   ,,   ,,,,,
,,,,,,,,
,   ,,,,,,,
