,,,,,,,,,,,,,,,,
BUILDING AID DISTRIBUTION FY10-FY24,,,,,,,,,,,,,,,,
"Last revised: July 1, 2025",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DISTRICT,SAU,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023,2023 - 2024
Holderness,48," $75,159 "," $75,159 "," $75,159 "," $75,159 "," $75,159 "," $75,159 "," $75,159 "," $75,159 "," $75,159 ", $-   , $-   , $-   , $-   , $-   , $-   
Hollis,41," $65,763 "," $63,681 "," $61,928 "," $52,795 "," $51,272 "," $49,851 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Hollis/Brookline,41," $397,486 "," $395,323 "," $396,021 "," $395,639 "," $398,487 "," $400,514 "," $404,512 "," $341,984 "," $173,362 "," $181,362 "," $191,362 "," $199,362 "," $209,362 "," $219,362 "," $231,362 "
Hooksett,15," $310,500 "," $310,500 "," $330,172 "," $330,172 "," $330,172 "," $330,172 "," $330,172 "," $330,172 "," $330,172 "," $330,172 "," $328,672 "," $328,672 "," $328,672 "," $328,672 ", $-   
Hopkinton,66," $178,441 "," $136,626 "," $141,126 "," $147,126 "," $143,286 "," $149,286 "," $156,786 "," $164,286 "," $173,286 ", $-   , $-   , $-   , $-   , $-   , $-   
Hudson,27," $325,934 "," $330,422 "," $368,158 "," $373,207 "," $378,559 "," $384,231 "," $390,238 "," $396,598 "," $403,329 "," $278,632 "," $278,632 "," $278,632 "," $129,950 ", $-   , $-   
Inter-lakes ,2," $171,612 "," $175,983 "," $180,626 "," $133,237 "," $60,286 "," $65,834 "," $71,716 "," $77,949 "," $84,553 "," $91,545 "," $98,947 "," $106,779 "," $115,064 ", $-   , $-   
Jackson,9," $57,825 "," $55,766 "," $55,766 "," $55,766 "," $73,109 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Jaffrey-Rindge,47," $434,456 "," $434,456 "," $373,098 "," $373,098 "," $325,898 "," $325,898 "," $325,898 "," $325,898 "," $325,898 "," $325,898 "," $325,898 "," $325,898 "," $325,898 ", $-   , $-   
John Stark Regional,24," $281,648 "," $252,982 "," $220,315 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Kearsarge Regional,65," $1,577,947 "," $1,484,238 "," $1,591,664 "," $1,143,719 "," $1,105,636 "," $1,012,532 "," $952,451 "," $750,359 "," $703,232 "," $724,929 "," $690,253 "," $663,910 "," $630,606 "," $607,489 "," $593,649 "
Keene,29," $898,016 "," $1,411,950 "," $2,194,360 "," $2,061,675 "," $1,822,979 "," $1,790,646 "," $1,651,948 "," $1,589,988 "," $1,520,237 "," $1,442,430 "," $1,400,532 "," $786,680 "," $748,712 "," $712,990 "," $679,188 "
Kensington,16," $61,264 "," $61,264 "," $63,457 "," $63,457 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Laconia,30," $816,713 "," $795,040 "," $702,402 "," $723,483 "," $773,935 "," $774,070 "," $766,480 "," $744,011 "," $722,120 "," $787,039 "," $693,263 "," $681,203 "," $670,195 "," $563,629 "," $487,005 "
Lebanon,88," $286,762 "," $311,289 "," $364,576 "," $925,874 "," $604,326 "," $643,599 "," $624,308 "," $642,316 "," $563,605 "," $526,592 "," $526,592 "," $526,592 "," $526,592 "," $526,592 "," $524,442 "
Lisbon,35," $100,439 "," $104,544 "," $107,744 "," $113,745 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Litchfield,27," $270,050 "," $260,787 "," $260,787 "," $260,787 "," $260,787 "," $260,787 "," $166,287 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Littleton,84," $91,807 "," $91,807 "," $220,141 "," $220,141 "," $220,141 "," $220,141 "," $220,141 "," $208,807 "," $208,807 "," $208,807 "," $208,807 "," $208,807 "," $208,807 "," $208,807 "," $117,000 "
Londonderry,12," $647,427 "," $579,377 "," $539,695 "," $539,695 "," $539,695 "," $539,695 "," $550,195 "," $629,695 "," $479,695 "," $478,194 "," $476,694 "," $475,195 "," $473,695 "," $244,368 "," $160,368 "
Lyme,76," $22,993 "," $22,993 "," $22,993 "," $22,993 "," $22,993 "," $22,993 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Madison,13," $60,000 "," $60,000 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Manchester,37," $1,998,399 "," $2,037,326 "," $1,918,122 "," $2,357,291 "," $2,449,987 "," $2,611,297 "," $2,740,961 "," $2,788,824 "," $2,959,317 "," $3,253,466 "," $3,209,050 "," $2,930,712 "," $3,030,966 "," $3,023,563 "," $2,986,145 "
Marlborough,29," $364,119 "," $348,581 "," $332,623 "," $317,649 "," $305,016 "," $294,068 "," $281,464 "," $270,644 "," $259,633 "," $240,840 "," $230,340 "," $222,102 "," $211,939 "," $203,148 "," $195,548 "
Mascenic Regional,87, $-   , $-   ," $812,639 "," $810,885 "," $810,885 "," $810,885 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "," $797,013 "
Mascoma Valley Reg.,62," $166,444 "," $176,196 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Mason,89, $-   ," $66,000 "," $66,000 "," $66,000 "," $86,424 "," $86,424 "," $86,424 "," $86,424 "," $86,424 "," $86,424 "," $84,774 "," $83,124 "," $83,124 "," $83,124 "," $83,124 "
Merrimack,26," $506,174 "," $511,919 "," $468,771 "," $393,533 "," $400,445 "," $407,788 "," $415,587 "," $423,866 "," $432,651 "," $441,973 "," $451,858 "," $321,000 "," $232,500 "," $232,500 "," $232,500 "
Merrimack Valley,46," $2,012,548 "," $2,012,548 "," $1,347,331 "," $1,347,331 "," $1,347,331 "," $1,344,390 "," $19,975 "," $17,704 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Milan,20," $70,000 "," $70,000 "," $78,251 "," $78,251 "," $76,251 "," $76,251 "," $76,251 "," $76,251 "," $76,251 ", $-   , $-   , $-   , $-   , $-   , $-   
Milford,40," $366,534 "," $366,534 "," $366,534 "," $286,225 "," $240,865 "," $240,865 "," $240,865 "," $240,865 "," $240,865 "," $240,865 "," $240,865 "," $239,365 "," $68,498 "," $68,498 "," $68,498 "
Milton,64," $235,088 "," $181,170 "," $180,047 "," $180,047 "," $180,047 "," $180,047 "," $177,047 "," $177,047 "," $177,047 "," $177,047 "," $177,047 ", $-   , $-   , $-   , $-   
Monadnock Regional,93," $143,930 "," $143,930 "," $630,701 "," $630,701 "," $630,701 "," $630,701 "," $630,701 "," $630,701 "," $560,204 ", $-   , $-   , $-   , $-   , $-   , $-   
Mont Vernon,39," $67,244 "," $30,013 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Moultonborough,45," $224,922 "," $234,309 "," $242,982 "," $251,832 "," $261,383 "," $271,144 "," $281,299 "," $291,799 "," $302,849 ", $-   , $-   , $-   , $-   , $-   , $-   
Nashua,42," $2,680,079 "," $2,680,079 "," $2,738,170 "," $2,641,795 "," $2,557,795 "," $2,557,795 "," $2,469,049 "," $2,377,549 "," $2,281,549 "," $2,281,549 "," $2,280,049 "," $2,211,432 "," $1,255,190 "," $1,255,190 "," $674,690 "
New Boston,19," $56,686 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
New Castle,50, $-   , $809 , $809 , $809 , $809 , $809 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Newfields,14," $22,922 "," $22,922 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Newfound,4," $7,662 ", $-   ," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "," $97,426 "
Newmarket,31, $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $540,932 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Newport,43," $321,772 "," $321,772 "," $334,082 "," $334,082 "," $356,596 "," $339,730 "," $339,730 "," $339,730 "," $339,730 "," $339,730 "," $339,730 "," $336,744 "," $336,744 "," $336,744 "," $336,744 "
North Hampton,21," $125,398 "," $132,898 "," $140,398 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Northumberland,58," $17,506 "," $17,506 "," $29,506 "," $20,571 "," $20,571 "," $20,571 "," $20,571 "," $9,000 "," $9,000 "," $9,000 "," $9,000 "," $9,000 ", $-   , $-   , $-   
Northwood,44," $87,814 "," $87,814 "," $87,814 "," $87,814 "," $87,814 "," $87,814 "," $87,814 "," $87,814 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Nottingham,44," $1,800 "," $1,800 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Oyster River,5," $687,618 "," $678,618 "," $552,618 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 "," $523,742 ", $-   
Pelham,28," $310,500 "," $309,900 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Pembroke,53," $358,633 "," $361,727 "," $480,541 "," $483,910 "," $490,426 "," $393,470 "," $199,370 "," $203,173 "," $239,356 "," $219,937 "," $224,476 "," $229,213 "," $234,156 "," $239,313 "," $115,585 "
Piermont,23," $12,000 "," $12,000 "," $1,710 "," $1,237 "," $1,350 "," $1,350 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Pittsburg,7," $112,167 "," $112,167 "," $85,234 "," $85,234 "," $77,418 "," $77,418 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Pittsfield,51," $95,636 "," $97,763 "," $97,763 "," $97,763 "," $100,163 "," $100,163 "," $89,923 "," $89,923 "," $89,923 "," $89,923 "," $89,923 "," $89,923 ", $-   , $-   , $-   
Plainfield,32," $45,967 "," $48,967 "," $31,502 "," $31,502 "," $13,834 "," $13,834 "," $10,502 "," $10,502 "," $9,002 "," $9,002 "," $9,002 "," $9,002 ", $-   , $-   , $-   
Plymouth,48," $18,826 ", $-   ," $416,783 "," $420,000 "," $420,000 "," $420,000 "," $418,355 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Portsmouth,52," $1,016,222 "," $1,319,096 "," $1,319,096 "," $1,319,096 "," $1,770,306 "," $1,770,306 "," $1,816,776 "," $1,812,693 "," $1,863,247 "," $1,863,247 "," $1,863,247 "," $1,757,196 "," $1,757,196 "," $1,757,196 "," $740,974 "
Profile,35," $356,030 "," $356,030 "," $356,030 "," $356,030 "," $369,536 "," $369,536 "," $369,536 "," $369,536 "," $376,886 "," $366,886 "," $366,886 "," $366,886 "," $366,886 "," $366,886 "," $366,886 "
Raymond,33," $503,664 "," $482,791 "," $466,116 "," $448,006 "," $428,193 "," $412,435 "," $394,962 "," $356,923 "," $341,486 "," $325,149 "," $310,510 "," $297,455 "," $284,432 "," $272,745 "," $260,996 "
Rivendell,78," $92,610 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "," $76,110 "
Rochester,54," $1,285,886 "," $1,024,228 "," $898,638 "," $840,077 "," $838,299 "," $837,629 "," $837,294 "," $126,133 "," $125,462 "," $124,791 "," $124,121 "," $123,450 "," $91,767 "," $88,887 "," $12,671,991 "
Rumney,48, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $2,198,160.00 ", $-   ," $549,540.00 "," $165,277 ", $-   
Rye,50," $99,848 "," $116,412 "," $116,412 "," $116,412 "," $116,412 "," $116,412 "," $92,426 "," $92,426 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Salem,57," $146,458 "," $146,458 "," $540,111 "," $540,888 "," $521,714 "," $521,714 "," $517,214 "," $401,941 "," $391,538 "," $391,538 "," $391,538 "," $391,538 "," $9,410,098 "," $391,538 "," $2,430,840 "
Sanborn Regional,17," $915,208 "," $875,508 "," $839,151 "," $766,889 "," $724,753 "," $671,628 "," $640,677 "," $616,322 "," $588,887 "," $562,959 "," $537,829 "," $513,515 "," $491,033 "," $469,213 "," $448,440 "
Seabrook,21, $-   , $-   ," $31,100 "," $30,500 "," $32,000 "," $33,500 "," $36,200 "," $37,602 "," $37,602 "," $37,602 "," $37,602 "," $37,602 "," $37,602 "," $42,702 "," $43,602 "
Shaker Regional,80," $265,601 "," $265,601 "," $287,520 "," $259,005 "," $21,919 "," $21,919 "," $21,919 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Somersworth,56," $267,065 "," $950,764 "," $1,014,795 "," $834,865 "," $909,037 "," $879,309 "," $864,932 "," $847,077 "," $674,243 "," $654,048 "," $1,221,459 "," $1,328,917 "," $975,781 "," $486,345 "," $471,201 "
Souhegan Cooperative,39," $319,999 "," $311,580 "," $303,650 "," $238,187 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
South Hampton,21," $37,160 "," $38,660 "," $40,160 "," $41,660 "," $43,160 "," $46,160 "," $47,660 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Stewartstown,7," $14,086 "," $14,086 "," $14,086 "," $14,086 "," $14,086 "," $14,086 "," $14,086 "," $14,086 "," $3,586 ", $-   , $-   , $-   , $-   , $-   , $-   
Strafford,44," $2,873 ", $-   ," $57,833 "," $59,483 "," $60,983 "," $62,483 "," $65,483 "," $66,983 "," $68,483 "," $71,483 "," $74,483 "," $77,483 "," $81,983 "," $84,983 "," $89,483 "
Sunapee,85," $83,480 "," $83,480 "," $83,480 "," $83,480 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Tamworth,13," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $49,083 "," $24,615 ", $-   
Thornton,48, $-   , $-   ," $91,020 "," $91,020 "," $100,909 "," $100,909 "," $100,909 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Timberlane,55," $1,103,811 "," $1,103,811 "," $1,103,811 "," $1,083,467 "," $1,103,811 "," $1,103,811 "," $1,103,811 "," $1,103,811 "," $1,110,592 "," $1,110,592 "," $1,110,592 ", $-   , $-   , $-   , $-   
Unity,6, $-   , $-   , $-   ," $52,875 "," $54,341 "," $102,964 "," $105,750 "," $105,632 "," $104,069 "," $239,162 "," $152,007 "," $152,007 "," $152,007 "," $152,007 "," $149,757 "
Wakefield,64," $51,063 "," $51,063 "," $51,063 "," $51,063 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Warren,23," $6,690 "," $6,690 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Washington,34," $19,921 "," $19,921 "," $19,921 "," $19,921 "," $18,421 "," $18,188 "," $18,188 "," $18,188 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   
Waterville Valley,48," $47,897 "," $28,397 "," $28,397 "," $28,397 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Weare,24," $385,686 "," $385,686 "," $385,686 "," $385,686 "," $385,686 "," $385,686 "," $385,686 "," $369,686 "," $369,686 "," $369,686 "," $369,686 "," $369,686 "," $369,686 "," $369,684 "," $369,684 "
Wentworth,48, $-   ," $7,841 "," $7,922 "," $7,922 "," $7,922 "," $7,922 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Westmoreland,29," $13,650 "," $13,650 "," $28,830 "," $29,730 "," $28,230 "," $28,230 "," $26,730 "," $12,150 "," $12,150 ", $-   , $-   , $-   , $-   , $-   , $-   
White Mountains Reg.,36," $509,987 "," $371,843 "," $187,571 "," $115,095 "," $2,106 "," $2,106 "," $45,154 ", $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   
Wilton-Lyndeborough,63," $130,000 "," $130,000 "," $130,000 "," $130,000 "," $130,000 "," $130,000 "," $130,000 "," $128,000 "," $128,000 "," $128,000 "," $128,000 ", $-   , $-   , $-   , $-   
Winchester,94," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "," $61,928 "
Windham,95," $1,233,802 "," $962,986 "," $962,986 "," $962,986 "," $961,486 "," $949,486 "," $1,000,824 "," $723,426 "," $721,926 "," $721,926 "," $602,995 "," $602,995 "," $602,995 "," $602,995 "," $602,995 "
Winnacunnet Co-op,21," $491,019 "," $513,519 "," $574,839 "," $599,839 "," $627,339 "," $657,339 "," $687,339 "," $719,839 "," $752,339 "," $789,839 "," $824,839 "," $862,339 "," $902,339 "," $944,839 "," $992,339 "
